,index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_time_dt,wake_time_dt,sleep_duration,sleep_minutes
0,0,0,Yes,SPORTS,Visual,ACN2BE,Female,N,69.0,14.0,2.0,16.0,10.0,91.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
1,1,2,No,SPORTS,Auditory,FGXIIZ,Female,N,47.0,4.0,19.0,16.0,7.0,94.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
2,2,0,Yes,NONE,Visual,B9AI9F,Male,N,85.0,14.0,2.0,15.0,8.0,92.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
3,3,1,No,CLUBS,Auditory,FEVM1T,Female,Y,64.0,2.0,20.0,15.0,18.0,95.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4,4,0,No,SPORTS,Auditory,AXZN2E,Male,N,66.0,24.0,3.0,16.0,7.0,95.0,21:30,5:30,public transport,yellow,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
5,5,0,No,ARTS,Visual,BA6R14,Female,N,57.0,9.0,12.0,15.0,11.0,96.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
6,6,2,Yes,NONE,Visual,D5WGTI,Male,N,69.0,12.0,3.0,16.0,15.0,93.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
7,7,0,No,SPORTS,Visual,HTP8CW,Male,N,76.0,20.0,2.0,15.0,3.0,97.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
8,8,0,No,ARTS,Auditory,U3YRTC,Male,N,57.0,20.0,7.0,15.0,15.0,98.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
9,9,2,No,ARTS,Auditory,3MOMA6,Male,Y,60.0,13.0,9.0,16.0,16.0,95.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
10,10,2,Yes,ARTS,Visual,5KDLKU,Female,N,72.0,20.0,0.0,16.0,10.0,92.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
11,11,2,No,SPORTS,Auditory,PUMBWU,Female,N,52.0,15.0,7.0,16.0,11.0,91.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
12,12,0,No,SPORTS,Visual,T4U89N,Male,Y,85.0,14.0,4.0,16.0,8.0,95.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
13,13,2,No,SPORTS,Visual,WPWT99,Male,Y,83.0,17.0,0.0,16.0,6.0,90.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
14,14,0,Yes,ARTS,Auditory,G0JBVS,Female,Y,75.0,14.0,2.0,15.0,15.0,98.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
15,15,0,No,CLUBS,Auditory,VRSYQL,Male,N,63.0,17.0,4.0,15.0,9.0,100.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
16,16,2,No,CLUBS,Auditory,W087TC,Female,N,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
17,17,1,No,NONE,Auditory,FALLVI,Female,Y,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
18,18,1,No,CLUBS,Auditory,H014YN,Male,Y,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
19,19,1,No,ARTS,Visual,ZQ3KFP,Male,Y,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
20,20,1,No,ARTS,Visual,QTPHGL,Female,Y,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport,red,1900-01-01 23:30:00,1900-01-01 06:30:00,0 days 07:00:00,420
21,21,0,No,NONE,Visual,HJ6Y5P,Male,Y,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport,red,1900-01-01 23:30:00,1900-01-01 06:30:00,0 days 07:00:00,420
22,22,0,Yes,CLUBS,Visual,U9YNGY,Female,N,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
23,23,0,No,CLUBS,Auditory,586QHN,Male,Y,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
24,24,0,No,ARTS,Visual,PQ059G,Male,N,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
25,25,1,No,CLUBS,Auditory,MQQL0R,Female,N,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
26,26,2,Yes,ARTS,Visual,7QPRBM,Female,N,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
27,27,2,No,CLUBS,Auditory,GSTYQJ,Female,N,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport,white,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
28,28,1,No,ARTS,Visual,OF3DU8,Male,Y,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
29,29,1,Yes,NONE,Auditory,ZGU81D,Male,Y,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
30,30,2,No,SPORTS,Visual,7882P8,Male,Y,68.0,20.0,2.0,16.0,14.0,91.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
31,31,2,No,NONE,Visual,JK9O0T,Female,Y,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
32,32,1,No,CLUBS,Visual,J5LN4C,Female,N,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
33,33,1,No,ARTS,Visual,6OAS7F,Male,Y,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport,yellow,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
34,34,0,Yes,SPORTS,Visual,9KCAKQ,Male,N,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
35,35,1,No,CLUBS,Visual,9C81UP,Male,N,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
36,36,2,No,ARTS,Auditory,GJITFO,Female,Y,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
37,37,2,No,SPORTS,Visual,3LU16S,Female,N,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
38,38,1,No,ARTS,Auditory,PSU5GT,Male,N,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
39,39,2,No,ARTS,Auditory,OR5ZSX,Male,N,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport,green,1900-01-01 01:00:00,1900-01-01 06:00:00,0 days 05:00:00,300
40,40,1,No,ARTS,Visual,2HD89P,Male,Y,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport,yellow,1900-01-01 22:30:00,1900-01-01 05:30:00,0 days 07:00:00,420
41,41,1,Yes,NONE,Visual,ALOPZS,Female,Y,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
42,42,1,No,NONE,Auditory,1GNS79,Male,Y,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
